readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.042602821439504626, u'xMag': -25.199997, u'azimuth': 1.9702143192291259, u'zforce': 9.7942830000000001, u'yforce': 0.41463773999999998, u'time': 1413158185.7030001, u'yMag': -12.599990999999999, u'zMag': -44.699997000000003, u'roll': 0.002681618696078658, u'xforce': -0.029638366999999999} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.037918873131275177, u'xMag': -23.699997, u'azimuth': 2.0324071407318116, u'zforce': 9.8698759999999996, u'yforce': 0.37571868000000003, u'time': 1413158187.7309999, u'yMag': -13.5, u'zMag': -45.299987999999999, u'roll': -0.00077342747244983916, u'xforce': 0.0082328790000000002} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.035844963043928146, u'xMag': -24, u'azimuth': 2.0254949569702148, u'zforce': 9.8351480000000002, u'yforce': 0.33949402000000001, u'time': 1413158189.8169999, u'yMag': -13.5, u'zMag': -44.699997000000003, u'roll': 0.0074790623039007187, u'xforce': -0.10298584} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.026846259087324142, u'xMag': -23.699997, u'azimuth': 2.0450647830963136, u'zforce': 9.8861910000000002, u'yforce': 0.2945874, u'time': 1413158191.8499999, u'yMag': -13.5, u'zMag': -43.5, u'roll': -0.013455064781010152, u'xforce': 0.084873505000000002} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.020512656867504121, u'xMag': -21.899994, u'azimuth': 2.1951059818267824, u'zforce': 9.8845449999999992, u'yforce': 0.3980223, u'time': 1413158193.915, u'yMag': -16.5, u'zMag': -42.299987999999999, u'roll': -0.0057233456056565045, u'xforce': 0.029788055000000001} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.034157951921224596, u'xMag': -23.099989999999998, u'azimuth': 2.1285975933074952, u'zforce': 9.8703240000000001, u'yforce': 0.36015104999999997, u'time': 1413158195.967, u'yMag': -15.899994, u'zMag': -44.099989999999998, u'roll': -0.0010312778060324491, u'xforce': 0.0089813229999999994} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.037347501516342162, u'xMag': -21.899994, u'azimuth': 2.1715004920959471, u'zforce': 9.869726, u'yforce': 0.33784744, u'time': 1413158197.9909999, u'yMag': -16.5, u'zMag': -45, u'roll': -0.0008201893884688616, u'xforce': 0.008382568} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.036089359968900683, u'xMag': -22.799987999999999, u'azimuth': 2.1432904720306398, u'zforce': 9.7950320000000008, u'yforce': 0.33949402000000001, u'time': 1413158200.0150001, u'yMag': -16.5, u'zMag': -44.399994, u'roll': 0.0069459092803299425, u'xforce': -0.068258054999999998} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.037568690627813338, u'xMag': -23.099989999999998, u'azimuth': 2.1490323543548584, u'zforce': 9.8333510000000004, u'yforce': 0.34129029999999999, u'time': 1413158202.03, u'yMag': -16.799987999999999, u'zMag': -45, u'roll': 0.0007598732830956578, u'xforce': 0.0067359925999999999} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.034328847378492358, u'xMag': -21.899994, u'azimuth': 2.1797363758087158, u'zforce': 9.945767, u'yforce': 0.33799713999999997, u'time': 1413158204.0239999, u'yMag': -16.799987999999999, u'zMag': -45, u'roll': -0.00085539942374452944, u'xforce': 0.008382568} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.037843398749828339, u'xMag': -23.099989999999998, u'azimuth': 2.1171069145202637, u'zforce': 9.9453180000000003, u'yforce': 0.37601807999999998, u'time': 1413158206.0899999, u'yMag': -15.599990999999999, u'zMag': -43.5, u'roll': -0.004009466338902712, u'xforce': 0.045954436000000001} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.037963200360536575, u'xMag': -22.5, u'azimuth': 2.1031643390655517, u'zforce': 9.9077459999999995, u'yforce': 0.37601807999999998, u'time': 1413158208.1340001, u'yMag': -15, u'zMag': -44.399994, u'roll': 0.0019491100218147039, u'xforce': -0.028889921999999998} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.25935474038124084, u'xMag': -34.5, u'azimuth': 2.0833486080169679, u'zforce': 11.097772000000001, u'yforce': 2.9443771999999999, u'time': 1413158210.1530001, u'yMag': -29.099989999999998, u'zMag': -36.299987999999999, u'roll': -0.048572155833244327, u'xforce': 0.51013916999999998} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.8089365601539612, u'xMag': -17.099989999999998, u'azimuth': 2.2078669548034666, u'zforce': 6.9157685999999998, u'yforce': 7.2766679999999999, u'time': 1413158212.997, u'yMag': -46.199997000000003, u'zMag': -26.699997, u'roll': 0.2830816447734833, u'xforce': -1.9467018} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.82641196250915527, u'xMag': -20.099989999999998, u'azimuth': 2.3310149669647218, u'zforce': 7.8977265000000001, u'yforce': 7.046297, u'time': 1413158215.0179999, u'yMag': -51, u'zMag': -19.199997, u'roll': 0.1782015860080719, u'xforce': -1.5636483000000001} 
readSensors data:  {u'light': 225, u'accuracy': 3, u'pitch': -0.71836605072021487, u'xMag': -26.099989999999998, u'azimuth': 1.8897777318954467, u'zforce': 7.1874536999999998, u'yforce': 6.2029509999999997, u'time': 1413158217.0539999, u'yMag': -39.899994, u'zMag': -32.699997000000003, u'roll': -0.031175635755062103, u'xforce': 0.42496627999999997} 
readSensors data:  {u'light': 225, u'accuracy': 3, u'pitch': -0.64548054933547971, u'xMag': -29.099989999999998, u'azimuth': 1.8023405551910401, u'zforce': 7.8966789999999998, u'yforce': 5.9377027, u'time': 1413158219.096, u'yMag': -35.699997000000003, u'zMag': -35.699997000000003, u'roll': -0.020561333000659942, u'xforce': 0.20627105000000001} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.7779759287834167, u'xMag': -25.5, u'azimuth': 2.1860090732574462, u'zforce': 7.2275700000000001, u'yforce': 7.163653, u'time': 1413158221.095, u'yMag': -47.399994, u'zMag': -22.5, u'roll': -0.13777579367160797, u'xforce': 1.0388397} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.95155820846557615, u'xMag': -26.699997, u'azimuth': 2.0515267848968506, u'zforce': 5.6541920000000001, u'yforce': 8.0019100000000005, u'time': 1413158223.142, u'yMag': -51.299987999999999, u'zMag': -17.699997, u'roll': -0.1362437129020691, u'xforce': 0.77478880000000006} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.78821080923080444, u'xMag': -29.099989999999998, u'azimuth': 2.1125987052917479, u'zforce': 6.9326835000000004, u'yforce': 7.1729336000000004, u'time': 1413158225.174, u'yMag': -48.299987999999999, u'zMag': -22.5, u'roll': -0.10867673605680465, u'xforce': 0.7966434} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.80043432712554929, u'xMag': -31.799987999999999, u'azimuth': 1.9966609001159668, u'zforce': 6.7271609999999997, u'yforce': 7.1980814999999998, u'time': 1413158227.2279999, u'yMag': -45, u'zMag': -19.799987999999999, u'roll': -0.27875716090202329, u'xforce': 1.9243981999999999} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.89357914924621584, u'xMag': -30, u'azimuth': 1.9964857578277588, u'zforce': 6.2050466999999996, u'yforce': 7.6929525999999999, u'time': 1413158229.25, u'yMag': -47.699997000000003, u'zMag': -18, u'roll': -0.18021705150604247, u'xforce': 1.2593312000000001} 
